businessunit	facility	latitude	longitude	timezone	_machinecount	_atmcount	_servercount	_workstationcount	_ip_min	_ip_max	_ip_min_atms	_ip_max_atms	_ip_min_servers	_ip_max_servers	_ip_min_workstations	_ip_max_workstations
region-2	branch87	28.808645	-145.16414	-9	100	9	41	50	172.12.74.2	172.12.76.10	172.12.76.2	172.12.76.10	172.12.74.2	172.12.74.42	172.12.75.2	172.12.75.51
region-2	branch88	30.54823	-150.07423	-10	98	9	39	50	172.12.77.2	172.12.79.10	172.12.79.2	172.12.79.10	172.12.77.2	172.12.77.40	172.12.78.2	172.12.78.51
region-2	branch89	17.507574	-154.57536	-10	97	10	39	48	172.12.80.2	172.12.82.11	172.12.82.2	172.12.82.11	172.12.80.2	172.12.80.40	172.12.81.2	172.12.81.49
region-2	branch90	23.230492	-143.64735	-9	98	10	39	49	172.12.83.2	172.12.85.11	172.12.85.2	172.12.85.11	172.12.83.2	172.12.83.40	172.12.84.2	172.12.84.50
region-2	branch91	28.81411	-149.8007	-9	98	10	38	50	172.12.86.2	172.12.88.11	172.12.88.2	172.12.88.11	172.12.86.2	172.12.86.39	172.12.87.2	172.12.87.51
region-2	branch92	27.93195	-150.1707	-10	100	10	39	51	172.12.89.2	172.12.91.11	172.12.91.2	172.12.91.11	172.12.89.2	172.12.89.40	172.12.90.2	172.12.90.52
region-2	branch93	30.032206	-149.70082	-9	96	10	38	48	172.12.92.2	172.12.94.11	172.12.94.2	172.12.94.11	172.12.92.2	172.12.92.39	172.12.93.2	172.12.93.49
region-2	branch94	17.187605	-151.12552	-10	97	10	38	49	172.12.95.2	172.12.97.11	172.12.97.2	172.12.97.11	172.12.95.2	172.12.95.39	172.12.96.2	172.12.96.50
region-2	branch95	21.278297	-144.52573	-9	97	9	39	49	172.12.98.2	172.12.100.10	172.12.100.2	172.12.100.10	172.12.98.2	172.12.98.40	172.12.99.2	172.12.99.50
region-2	branch96	21.297548	-149.68257	-9	100	9	41	50	172.12.101.2	172.12.103.10	172.12.103.2	172.12.103.10	172.12.101.2	172.12.101.42	172.12.102.2	172.12.102.51
region-2	branch97	21.184803	-153.35463	-10	99	9	41	49	172.12.104.2	172.12.106.10	172.12.106.2	172.12.106.10	172.12.104.2	172.12.104.42	172.12.105.2	172.12.105.50
region-2	branch98	25.29008	-147.1795	-9	99	9	39	51	172.12.107.2	172.12.109.10	172.12.109.2	172.12.109.10	172.12.107.2	172.12.107.40	172.12.108.2	172.12.108.52
region-2	branch99	25.980366	-146.30429	-9	98	9	40	49	172.12.110.2	172.12.112.10	172.12.112.2	172.12.112.10	172.12.110.2	172.12.110.41	172.12.111.2	172.12.111.50
region-2	branch100	19.575964	-154.9044	-10	98	10	39	49	172.12.113.2	172.12.115.11	172.12.115.2	172.12.115.11	172.12.113.2	172.12.113.40	172.12.114.2	172.12.114.50
region-2	branch101	18.600279	-149.70091	-9	100	10	41	49	172.12.116.2	172.12.118.11	172.12.118.2	172.12.118.11	172.12.116.2	172.12.116.42	172.12.117.2	172.12.117.50
region-2	branch102	29.183384	-154.8506	-10	95	9	38	48	172.12.119.2	172.12.121.10	172.12.121.2	172.12.121.10	172.12.119.2	172.12.119.39	172.12.120.2	172.12.120.49
region-2	branch118	19.456463	-149.65778	-9	99	9	40	50	172.12.167.2	172.12.169.10	172.12.169.2	172.12.169.10	172.12.167.2	172.12.167.41	172.12.168.2	172.12.168.51
region-2	branch119	19.137197	-143.19438	-9	100	10	41	49	172.12.170.2	172.12.172.11	172.12.172.2	172.12.172.11	172.12.170.2	172.12.170.42	172.12.171.2	172.12.171.50
region-2	branch120	22.347513	-154.86882	-10	98	9	41	48	172.12.173.2	172.12.175.10	172.12.175.2	172.12.175.10	172.12.173.2	172.12.173.42	172.12.174.2	172.12.174.49
region-2	branch121	31.042406	-153.78462	-10	95	9	38	48	172.12.176.2	172.12.178.10	172.12.178.2	172.12.178.10	172.12.176.2	172.12.176.39	172.12.177.2	172.12.177.49
region-2	branch122	26.349018	-148.43161	-9	99	9	41	49	172.12.179.2	172.12.181.10	172.12.181.2	172.12.181.10	172.12.179.2	172.12.179.42	172.12.180.2	172.12.180.50
region-2	branch123	21.722382	-147.39352	-9	101	10	41	50	172.12.182.2	172.12.184.11	172.12.184.2	172.12.184.11	172.12.182.2	172.12.182.42	172.12.183.2	172.12.183.51
region-2	branch124	23.915287	-149.7233	-9	98	9	39	50	172.12.185.2	172.12.187.10	172.12.187.2	172.12.187.10	172.12.185.2	172.12.185.40	172.12.186.2	172.12.186.51
region-2	branch125	26.611609	-149.98265	-9	99	10	40	49	172.12.188.2	172.12.190.11	172.12.190.2	172.12.190.11	172.12.188.2	172.12.188.41	172.12.189.2	172.12.189.50
region-2	branch126	19.862434	-152.19556	-10	99	9	41	49	172.12.191.2	172.12.193.10	172.12.193.2	172.12.193.10	172.12.191.2	172.12.191.42	172.12.192.2	172.12.192.50
region-2	branch127	22.12856	-148.56548	-9	102	10	41	51	172.12.194.2	172.12.196.11	172.12.196.2	172.12.196.11	172.12.194.2	172.12.194.42	172.12.195.2	172.12.195.52
region-2	branch128	19.966782	-143.88937	-9	102	10	41	51	172.12.197.2	172.12.199.11	172.12.199.2	172.12.199.11	172.12.197.2	172.12.197.42	172.12.198.2	172.12.198.52
region-2	branch129	25.92679	-144.72559	-9	100	9	40	51	172.12.200.2	172.12.202.10	172.12.202.2	172.12.202.10	172.12.200.2	172.12.200.41	172.12.201.2	172.12.201.52
region-2	branch130	30.63169	-145.267	-9	101	9	41	51	172.12.203.2	172.12.205.10	172.12.205.2	172.12.205.10	172.12.203.2	172.12.203.42	172.12.204.2	172.12.204.52
region-2	branch131	31.533308	-150.18633	-10	99	10	39	50	172.12.206.2	172.12.208.11	172.12.208.2	172.12.208.11	172.12.206.2	172.12.206.40	172.12.207.2	172.12.207.51
region-2	branch132	19.418736	-154.7814	-10	101	9	41	51	172.12.209.2	172.12.211.10	172.12.211.2	172.12.211.10	172.12.209.2	172.12.209.42	172.12.210.2	172.12.210.52
region-2	branch133	29.32227	-148.29858	-9	97	10	39	48	172.12.212.2	172.12.214.11	172.12.214.2	172.12.214.11	172.12.212.2	172.12.212.40	172.12.213.2	172.12.213.49
region-2	branch134	23.422855	-151.26984	-10	95	9	38	48	172.12.215.2	172.12.217.10	172.12.217.2	172.12.217.10	172.12.215.2	172.12.215.39	172.12.216.2	172.12.216.49
region-2	branch135	30.61251	-142.90239	-9	102	10	41	51	172.12.218.2	172.12.220.11	172.12.220.2	172.12.220.11	172.12.218.2	172.12.218.42	172.12.219.2	172.12.219.52
region-2	branch136	22.787737	-144.5196	-9	101	9	41	51	172.12.221.2	172.12.223.10	172.12.223.2	172.12.223.10	172.12.221.2	172.12.221.42	172.12.222.2	172.12.222.52
region-2	branch137	24.12502	-142.70047	-9	101	10	41	50	172.12.224.2	172.12.226.11	172.12.226.2	172.12.226.11	172.12.224.2	172.12.224.42	172.12.225.2	172.12.225.51
region-2	branch138	24.13729	-146.20798	-9	99	9	41	49	172.12.227.2	172.12.229.10	172.12.229.2	172.12.229.10	172.12.227.2	172.12.227.42	172.12.228.2	172.12.228.50
region-2	branch139	29.966217	-143.05864	-9	102	10	41	51	172.12.230.2	172.12.232.11	172.12.232.2	172.12.232.11	172.12.230.2	172.12.230.42	172.12.231.2	172.12.231.52
region-2	branch140	18.024565	-151.86703	-10	99	9	41	49	172.12.233.2	172.12.235.10	172.12.235.2	172.12.235.10	172.12.233.2	172.12.233.42	172.12.234.2	172.12.234.50
region-2	branch141	29.102097	-153.01755	-10	99	10	41	48	172.12.236.2	172.12.238.11	172.12.238.2	172.12.238.11	172.12.236.2	172.12.236.42	172.12.237.2	172.12.237.49
region-2	branch142	19.48844	-143.56566	-9	99	10	40	49	172.12.239.2	172.12.241.11	172.12.241.2	172.12.241.11	172.12.239.2	172.12.239.41	172.12.240.2	172.12.240.50
region-2	branch143	30.441788	-151.26462	-10	99	9	41	49	172.12.242.2	172.12.244.10	172.12.244.2	172.12.244.10	172.12.242.2	172.12.242.42	172.12.243.2	172.12.243.50
region-2	branch144	23.536266	-145.63702	-9	101	10	41	50	172.12.245.2	172.12.247.11	172.12.247.2	172.12.247.11	172.12.245.2	172.12.245.42	172.12.246.2	172.12.246.51
region-2	branch145	25.466047	-151.87228	-10	99	10	41	48	172.12.248.2	172.12.250.11	172.12.250.2	172.12.250.11	172.12.248.2	172.12.248.42	172.12.249.2	172.12.249.49
region-2	branch146	17.420603	-154.00926	-10	102	10	41	51	172.12.251.2	172.12.253.11	172.12.253.2	172.12.253.11	172.12.251.2	172.12.251.42	172.12.252.2	172.12.252.52
region-2	branch147	25.387161	-148.76012	-9	99	9	40	50	172.12.254.2	172.13.2.10	172.13.2.2	172.13.2.10	172.12.254.2	172.12.254.41	172.13.1.2	172.13.1.51
region-2	branch148	31.260763	-145.52022	-9	100	10	39	51	172.13.3.2	172.13.5.11	172.13.5.2	172.13.5.11	172.13.3.2	172.13.3.40	172.13.4.2	172.13.4.52
region-2	branch149	24.919188	-147.08374	-9	99	10	38	51	172.13.6.2	172.13.8.11	172.13.8.2	172.13.8.11	172.13.6.2	172.13.6.39	172.13.7.2	172.13.7.52
region-2	branch150	26.564926	-148.01437	-9	100	9	40	51	172.13.9.2	172.13.11.10	172.13.11.2	172.13.11.10	172.13.9.2	172.13.9.41	172.13.10.2	172.13.10.52
region-2	branch151	22.862719	-142.09189	-9	99	10	39	50	172.13.12.2	172.13.14.11	172.13.14.2	172.13.14.11	172.13.12.2	172.13.12.40	172.13.13.2	172.13.13.51
region-2	branch152	23.018724	-152.03041	-10	97	9	40	48	172.13.15.2	172.13.17.10	172.13.17.2	172.13.17.10	172.13.15.2	172.13.15.41	172.13.16.2	172.13.16.49
region-2	branch153	25.293894	-149.42609	-9	98	9	41	48	172.13.18.2	172.13.20.10	172.13.20.2	172.13.20.10	172.13.18.2	172.13.18.42	172.13.19.2	172.13.19.49
region-2	branch154	19.369658	-146.49275	-9	100	10	39	51	172.13.21.2	172.13.23.11	172.13.23.2	172.13.23.11	172.13.21.2	172.13.21.40	172.13.22.2	172.13.22.52
region-2	branch155	22.065823	-146.36333	-9	100	10	41	49	172.13.24.2	172.13.26.11	172.13.26.2	172.13.26.11	172.13.24.2	172.13.24.42	172.13.25.2	172.13.25.50
region-2	branch156	30.271137	-152.01848	-10	98	10	40	48	172.13.27.2	172.13.29.11	172.13.29.2	172.13.29.11	172.13.27.2	172.13.27.41	172.13.28.2	172.13.28.49
region-2	branch157	20.681404	-143.12245	-9	96	10	38	48	172.13.30.2	172.13.32.11	172.13.32.2	172.13.32.11	172.13.30.2	172.13.30.39	172.13.31.2	172.13.31.49
region-2	branch158	17.252342	-145.243	-9	100	10	41	49	172.13.33.2	172.13.35.11	172.13.35.2	172.13.35.11	172.13.33.2	172.13.33.42	172.13.34.2	172.13.34.50
region-2	branch159	22.761087	-150.06894	-10	97	10	39	48	172.13.36.2	172.13.38.11	172.13.38.2	172.13.38.11	172.13.36.2	172.13.36.40	172.13.37.2	172.13.37.49
region-2	branch160	26.014467	-150.95358	-10	100	10	39	51	172.13.39.2	172.13.41.11	172.13.41.2	172.13.41.11	172.13.39.2	172.13.39.40	172.13.40.2	172.13.40.52
region-2	branch161	21.417467	-152.46025	-10	98	10	39	49	172.13.42.2	172.13.44.11	172.13.44.2	172.13.44.11	172.13.42.2	172.13.42.40	172.13.43.2	172.13.43.50
region-2	branch162	28.97291	-147.79955	-9	99	10	41	48	172.13.45.2	172.13.47.11	172.13.47.2	172.13.47.11	172.13.45.2	172.13.45.42	172.13.46.2	172.13.46.49
region-2	branch163	24.812675	-153.27501	-10	98	9	40	49	172.13.48.2	172.13.50.10	172.13.50.2	172.13.50.10	172.13.48.2	172.13.48.41	172.13.49.2	172.13.49.50
region-2	branch164	31.16062	-153.92084	-10	98	10	38	50	172.13.51.2	172.13.53.11	172.13.53.2	172.13.53.11	172.13.51.2	172.13.51.39	172.13.52.2	172.13.52.51
region-2	branch165	31.849854	-143.66522	-9	99	10	38	51	172.13.54.2	172.13.56.11	172.13.56.2	172.13.56.11	172.13.54.2	172.13.54.39	172.13.55.2	172.13.55.52
region-2	branch167	26.513002	-146.65845	-9	96	9	39	48	172.13.60.2	172.13.62.10	172.13.62.2	172.13.62.10	172.13.60.2	172.13.60.40	172.13.61.2	172.13.61.49
region-2	branch168	22.94079	-144.03471	-9	98	9	40	49	172.13.63.2	172.13.65.10	172.13.65.2	172.13.65.10	172.13.63.2	172.13.63.41	172.13.64.2	172.13.64.50
region-2	branch169	22.886793	-147.92058	-9	97	10	38	49	172.13.66.2	172.13.68.11	172.13.68.2	172.13.68.11	172.13.66.2	172.13.66.39	172.13.67.2	172.13.67.50
region-2	branch170	26.359253	-142.3725	-9	98	10	39	49	172.13.69.2	172.13.71.11	172.13.71.2	172.13.71.11	172.13.69.2	172.13.69.40	172.13.70.2	172.13.70.50
region-2	branch171	18.556173	-142.66545	-9	98	9	38	51	172.13.72.2	172.13.74.10	172.13.74.2	172.13.74.10	172.13.72.2	172.13.72.39	172.13.73.2	172.13.73.52
region-2	branch172	19.39753	-142.71735	-9	100	10	41	49	172.13.75.2	172.13.77.11	172.13.77.2	172.13.77.11	172.13.75.2	172.13.75.42	172.13.76.2	172.13.76.50
region-2	branch173	23.11273	-143.16803	-9	99	10	41	48	172.13.78.2	172.13.80.11	172.13.80.2	172.13.80.11	172.13.78.2	172.13.78.42	172.13.79.2	172.13.79.49
region-2	branch174	29.456442	-143.08524	-9	97	10	38	49	172.13.81.2	172.13.83.11	172.13.83.2	172.13.83.11	172.13.81.2	172.13.81.39	172.13.82.2	172.13.82.50
region-2	branch175	18.608505	-145.80167	-9	99	10	39	50	172.13.84.2	172.13.86.11	172.13.86.2	172.13.86.11	172.13.84.2	172.13.84.40	172.13.85.2	172.13.85.51
region-2	branch176	24.83644	-147.04105	-9	96	10	38	48	172.13.87.2	172.13.89.11	172.13.89.2	172.13.89.11	172.13.87.2	172.13.87.39	172.13.88.2	172.13.88.49
region-2	branch177	23.800468	-152.07751	-10	98	9	39	50	172.13.90.2	172.13.92.10	172.13.92.2	172.13.92.10	172.13.90.2	172.13.90.40	172.13.91.2	172.13.91.51
region-2	branch178	21.188345	-150.16916	-10	98	9	40	49	172.13.93.2	172.13.95.10	172.13.95.2	172.13.95.10	172.13.93.2	172.13.93.41	172.13.94.2	172.13.94.50
region-2	branch179	17.473951	-153.81564	-10	99	10	38	51	172.13.96.2	172.13.98.11	172.13.98.2	172.13.98.11	172.13.96.2	172.13.96.39	172.13.97.2	172.13.97.52
region-2	branch180	22.639101	-152.08409	-10	96	10	38	48	172.13.99.2	172.13.101.11	172.13.101.2	172.13.101.11	172.13.99.2	172.13.99.39	172.13.100.2	172.13.100.49
region-2	branch181	25.686155	-152.32234	-10	101	9	41	51	172.13.102.2	172.13.104.10	172.13.104.2	172.13.104.10	172.13.102.2	172.13.102.42	172.13.103.2	172.13.103.52
region-2	branch182	20.089348	-150.20139	-10	99	9	39	51	172.13.105.2	172.13.107.10	172.13.107.2	172.13.107.10	172.13.105.2	172.13.105.40	172.13.106.2	172.13.106.52
region-2	branch183	21.889961	-148.28725	-9	99	10	39	50	172.13.108.2	172.13.110.11	172.13.110.2	172.13.110.11	172.13.108.2	172.13.108.40	172.13.109.2	172.13.109.51
region-2	branch184	24.623823	-150.99915	-10	98	9	40	49	172.13.111.2	172.13.113.10	172.13.113.2	172.13.113.10	172.13.111.2	172.13.111.41	172.13.112.2	172.13.112.50
region-2	branch185	23.348577	-146.04623	-9	97	9	40	48	172.13.114.2	172.13.116.10	172.13.116.2	172.13.116.10	172.13.114.2	172.13.114.41	172.13.115.2	172.13.115.49
region-2	branch186	27.823187	-144.60526	-9	100	9	41	50	172.13.117.2	172.13.119.10	172.13.119.2	172.13.119.10	172.13.117.2	172.13.117.42	172.13.118.2	172.13.118.51
region-2	branch187	29.60653	-146.88264	-9	97	9	40	48	172.13.120.2	172.13.122.10	172.13.122.2	172.13.122.10	172.13.120.2	172.13.120.41	172.13.121.2	172.13.121.49
region-2	branch188	22.423613	-145.24355	-9	102	10	41	51	172.13.123.2	172.13.125.11	172.13.125.2	172.13.125.11	172.13.123.2	172.13.123.42	172.13.124.2	172.13.124.52
region-2	branch189	17.44421	-147.15932	-9	96	9	38	49	172.13.126.2	172.13.128.10	172.13.128.2	172.13.128.10	172.13.126.2	172.13.126.39	172.13.127.2	172.13.127.50
region-2	branch190	19.843685	-153.3644	-10	98	10	38	50	172.13.129.2	172.13.131.11	172.13.131.2	172.13.131.11	172.13.129.2	172.13.129.39	172.13.130.2	172.13.130.51
region-2	branch191	22.419552	-152.28792	-10	96	9	39	48	172.13.132.2	172.13.134.10	172.13.134.2	172.13.134.10	172.13.132.2	172.13.132.40	172.13.133.2	172.13.133.49
